Gene	ID	Count
ALLC	438	6
ALMS1	439	27
ALOX12	440	11
ALOX12B	441	4
ALOX12E	442	2
ALOX15	443	4
ALOX15B	444	5
ALOX5	445	6
ALPI	446	15
ALPK1	447	11
ALPK2	448	28
ALPL	449	17
ALS2CL	450	5
ALS2CR11	451	10
ALS2CR13	452	22
ALS2CR4	453	6
ALS2CR8	454	9
ALX1	455	13
ALX3	456	9
ALX4	457	36
AMAC1L3	458	10
AMACR	459	6
AMBRA1	460	39
AMD1	461	9
AMDHD1	462	4
AMDHD2	463	3
AMFR	464	10
AMH	465	5
AMIGO1	466	2
AMIGO2	467	3
AMIGO3	468	5
AMN	469	7
AMN1	470	7
AMOT	471	2
AMOTL1	472	31
AMOTL2	473	21
AMPD2	474	5
AMPD3	475	6
AMPH	476	13
AMT	477	5
AMTN	478	5
AMY2A	479	7
AMZ1	480	12
AMZ2	481	7
ANAPC1	482	10
ANAPC10	483	20
ANAPC11	484	5
ANAPC13	485	3
ANAPC4	486	16
ANAPC5	487	3
ANAPC7	488	6
ANG	489	6
ANG2	490	6
ANGEL1	491	9
ANGEL2	492	3
ANGPT1	493	12
ANGPT2	494	31
ANGPT4	495	6
ANGPTL1	496	6
ANGPTL2	497	22
ANGPTL3	498	6
ANGPTL4	499	2
ANGPTL5	500	3
ANGPTL6	501	9
ANGPTL7	502	11
ANK1	503	62
ANK2	504	18
ANK3	505	6
ANKFY1	506	13
ANKH	507	36
ANKIB1	508	5
ANKLE1	509	5
ANKLE2	510	4
ANKMY1	511	24
ANKMY2	512	8
ANKRA2	513	2
ANKRD1	514	6
ANKRD10	515	32
ANKRD11	516	13
ANKRD12	517	3
ANKRD13A	518	29
ANKRD13B	519	12
ANKRD13C	520	5
ANKRD13D	521	5
ANKRD16	522	15
ANKRD17	523	5
ANKRD24	524	21
ANKRD26	525	9
ANKRD27	526	23
ANKRD28	527	16
ANKRD29	528	11
ANKRD31	529	49
ANKRD32	530	17
ANKRD33	531	34
ANKRD33B	532	15
ANKRD34A	533	6
ANKRD34C	534	3
ANKRD35	535	19
ANKRD37	536	5
ANKRD39	537	9
ANKRD40	538	14
ANKRD43	539	5
ANKRD44	540	25
ANKRD46	541	6
ANKRD5	542	13
ANKRD50	543	12
ANKRD52	544	5
ANKRD53	545	6
ANKRD54	546	10
ANKRD58	547	4
ANKRD6	548	6
ANKRD60	549	16
ANKRD61	550	7
ANKRD9	551	5
ANKS1A	552	44
ANKS1B	553	33
ANKS3	554	23
ANKS4B	555	5
ANKS6	556	6
ANKZF1	557	9
ANO1	558	56
ANO10	559	35
ANO2	560	54
ANO3	561	13
ANO4	562	11
ANO5	563	5
ANO6	564	30
ANO8	565	12
ANO9	566	5
ANP32A	567	41
ANP32B	568	12
ANP32E	569	6
ANTXR1	570	12
ANTXR2	571	9
ANUBL1	572	14
ANXA10	573	6
ANXA11	574	13
ANXA2	575	18
ANXA3	576	37
ANXA4	577	10
ANXA5	578	13
ANXA6	579	17
ANXA7	580	12
ANXA9	581	5
AOAH	582	13
AOX1	583	11
AP1AR	584	3
AP1B1	585	42
AP1G1	586	11
AP1G2	587	5
AP1M1	588	15
AP1M2	589	5
AP1S1	590	3
AP1S2	591	45
AP1S3	592	5
AP2A1	593	18
AP2A2	594	47
AP2B1	595	13
AP2M1	596	5
AP2S1	597	7
AP3B1	598	20
AP3D1	599	4
AP3M1	600	4
AP3M2	601	15
AP3S1	602	4
AP3S2	603	4
AP4B1	604	7
AP4E1	605	6
AP4M1	606	5
AP4S1	607	10
APAF1	608	19
APBA1	609	20
APBA2	610	12
APBA3	611	15
APBB1	612	4
APBB1IP	613	21
APBB2	614	60
APBB3	615	4
APC2	616	14
APCDD1	617	14
APCDD1L	618	11
APEG3	619	8
APEH	620	5
APEX1	621	5
APEX2	622	5
APH1A	623	4
APH1B	624	4
API5	625	6
APIP	626	11
APITD1	627	4
APLF	628	13
APLN	629	4
APLNR	630	2
APLP1	631	6
APLP2	632	35
APMAP	633	25
APOA1	634	1
APOA1BP	635	12
APOA4	636	2
APOA5	637	3
APOB	638	17
APOC2	639	8
APOC4	640	7
APOE	641	3
APOF	642	14
APOH	643	3
APOL3	644	14
APOLD1	645	11
APOM	646	5
APP	647	37
APPBP2	648	8
APPL1	649	21
APPL2	650	11
APR3	651	10
APRT	652	3
APTX	653	7
AQP1	654	6
AQP11	655	6
AQP2	656	2
AQP3	657	5
AQP5	658	4
AQP6	659	2
AQP7	660	1
