Gene	ID	Count
NM_001113437	660	7
NM_001113438	661	8
NM_001113439	662	13
NM_001113440	663	10
NM_001113441	664	3
NM_001113442	665	19
NM_001113443	666	27
NM_001113444	667	47
NM_001113446	668	9
NM_001113448	669	7
NM_001113449	670	19
NM_001113450	671	29
NM_001113451	672	12
NM_001113452	673	100
NM_001113694	674	18
NM_001113695	675	4
NM_001113696	676	15
NM_001113697	677	17
NM_001113698	678	18
NM_001113699	679	35
NM_001113700	680	10
NM_001113701	681	16
NM_001113702	682	30
NM_001113703	683	1
NM_001113704	684	6
NM_001113705	685	3
NM_001113706	686	7
NM_001113707	687	6
NM_001114056	688	27
NM_001114062	689	6
NM_001114064	690	1
NM_001114269	691	22
NM_001114270	692	6
NM_001114271	693	78
NM_001114273	694	13
NM_001114274	695	10
NM_001114275	696	10
NM_001114276	697	6
NM_001114277	698	39
NM_001114278	699	141
NM_001114279	700	18
NM_001114280	701	3
NM_001114281	702	1
NM_001114282	703	10
NM_001114283	704	4
NM_001114284	705	8
NM_001114285	706	6
NM_001114286	707	14
NM_001114287	708	8
NM_001114288	709	6
NM_001114289	710	3
NM_001114670	711	25
NM_001114672	712	109
NM_001114673	713	18
NM_001114674	714	118
NM_001114675	715	14
NM_001114676	716	23
NM_001115136	717	9
NM_001115155	718	10
NM_001122984	719	12
NM_001122985	720	16
NM_001122986	721	7
NM_001122987	722	28
NM_001122988	723	17
NM_001122990	724	28
NM_001122994	725	7
NM_001122995	726	9
NM_001122996	727	11
NM_001123042	728	5
NM_001123043	729	7
NM_001123069	730	8
NM_001123070	731	17
NM_001123071	732	10
NM_001123072	733	9
NM_001123073	734	12
NM_001123074	735	4
NM_001123076	736	7
NM_001123077	737	5
NM_001123078	738	9
NM_001123079	739	14
NM_001123080	740	121
NM_001123081	741	19
NM_001123082	742	39
NM_001123083	743	7
NM_001123084	744	14
NM_001123085	745	10
NM_001123087	746	64
NM_001123088	747	23
NM_001123089	748	9
NM_001123090	749	6
NM_001123091	750	4
NM_001123092	751	12
NM_001123093	752	18
NM_001123094	753	10
NM_001123095	754	14
NM_001123096	755	14
NM_001123098	756	5
NM_001123099	757	2
NM_001123100	758	18
NM_001123101	759	2
NM_001123102	760	12
NM_001123103	761	17
NM_001123104	762	15
NM_001123105	763	7
NM_001123106	764	28
NM_001123107	765	1
NM_001123108	766	4
NM_001123110	767	12
NM_001123111	768	4
NM_001123113	769	8
NM_001123114	770	23
NM_001123115	771	10
NM_001123116	772	11
NM_001123117	773	61
NM_001123119	774	4
NM_001123120	775	6
NM_001123121	776	9
NM_001123122	777	4
NM_001123123	778	2
NM_001123124	779	3
NM_001123125	780	9
NM_001123129	781	11
NM_001123130	782	3
NM_001123131	783	18
NM_001123132	784	3
NM_001123133	785	30
NM_001123134	786	35
NM_001123135	787	11
NM_001123137	788	4
NM_001123138	789	9
NM_001123139	790	3
NM_001123140	791	9
NM_001123141	792	94
NM_001123142	793	23
NM_001123144	794	12
NM_001123146	795	6
NM_001123147	796	10
NM_001123148	797	16
NM_001123149	798	39
NM_001123150	799	39
NM_001123151	800	5
NM_001123152	801	6
NM_001123155	802	2
NM_001123156	803	18
NM_001123157	804	6
NM_001123158	805	15
NM_001123159	806	7
NM_001123160	807	13
NM_001123161	808	11
NM_001123162	809	10
NM_001123163	810	13
NM_001123164	811	4
NM_001123165	812	11
NM_001123166	813	1
NM_001123167	814	11
NM_001123170	815	7
NM_001123171	816	6
NM_001123172	817	6
NM_001123173	818	11
NM_001123174	819	66
NM_001123175	820	12
NM_001123176	821	13
NM_001123177	822	12
NM_001123178	823	4
NM_001123179	824	15
NM_001123181	825	11
NM_001123182	826	12
NM_001123183	827	23
NM_001123184	828	5
NM_001123185	829	8
NM_001123189	830	4
NM_001123190	831	12
NM_001123191	832	7
NM_001123192	833	8
NM_001123193	834	7
NM_001123194	835	4
NM_001123195	836	65
NM_001123197	837	8
NM_001123198	838	15
NM_001123199	839	45
NM_001123200	840	7
NM_001123201	841	17
NM_001123202	842	4
NM_001123203	843	54
NM_001123204	844	13
NM_001123205	845	9
NM_001123207	846	5
NM_001123208	847	7
NM_001123209	848	11
NM_001123210	849	27
NM_001123211	850	6
NM_001123213	851	55
NM_001123214	852	7
